,Distance
Panel1_cross1,12.206555615733702
Panel1_cross2,17.08800749063506
Panel1_cross3,16.278820596099706
Panel1_cross4,10.770329614269007
Panel2_cross1,4.47213595499958
Panel2_cross2,10.295630140987
Panel2_cross3,24.166091947189145
Panel2_cross4,11.40175425099138
Panel3_cross1,14.560219778561036
Panel3_cross2,15.811388300841896
Panel3_cross3,3.1622776601683795
Panel3_cross4,15.231546211727817
Panel4_cross1,3.605551275463989
Panel4_cross2,7.0710678118654755
Panel4_cross3,13.416407864998739
Panel4_cross4,5.385164807134504
